serial,player_name,club,position,assists,corner_taken,offsides,dribbles,match_played
64,Pulišić,Chelsea,Midfielder,1,0,1,11,7
64,Mæhle,Atalanta,Defender,1,0,1,11,5
64,Carvajal,Real Madrid,Defender,1,0,1,9,11
64,Blind,Ajax,Defender,1,0,1,8,8
64,Meunier,Dortmund,Defender,1,0,1,7,6
64,Zeki Çelik,LOSC,Defender,1,0,1,5,7
64,Gomes,LOSC,Midfielder,1,0,1,3,4
64,Camavinga,Real Madrid,Midfielder,1,0,1,2,10
64,Bentancur,Juventus,Midfielder,1,0,1,2,5
64,Azmoun,Zenit,Forward,1,0,1,2,5
64,Palomino,Atalanta,Defender,1,0,1,0,5
64,Jordi Alba,Barcelona,Defender,1,0,1,0,5
64,Adeyemi,Salzburg,Forward,1,0,0,23,8
64,Birmančević,Malmö,Midfielder,1,0,0,19,6
64,Brahim Díaz,Milan,Midfielder,1,0,0,19,5
64,Loftus-Cheek,Chelsea,Forward,1,0,0,15,8
64,Zappacosta,Atalanta,Defender,1,0,0,12,6
64,Pedraza,Villarreal,Midfielder,1,0,0,9,10
64,Lucas Vázquez,Real Madrid,Midfielder,1,0,0,6,8
64,Freuler,Atalanta,Midfielder,1,0,0,6,6
64,Dumfries,Inter,Defender,1,0,0,5,7
64,Olmo,Leipzig,Forward,1,0,0,5,2
64,Gonçalo Ramos,Benfica,Forward,1,0,0,4,7
64,Kanté,Chelsea,Midfielder,1,0,0,4,6
64,Laimer,Leipzig,Midfielder,1,0,0,4,6
64,Moi Gómez,Villarreal,Midfielder,1,0,0,4,6
64,Sobol,Club Brugge,Defender,1,0,0,4,4
64,Karavaev,Zenit,Defender,1,0,0,4,4
64,De Sciglio,Juventus,Defender,1,0,0,4,4
64,Vertonghen,Benfica,Defender,1,0,0,3,10
64,Azpilicueta,Chelsea,Defender,1,0,0,3,9
64,Martínez,Ajax,Defender,1,0,0,3,8
64,Origi,Liverpool,Forward,1,0,0,3,7
64,Mukiele,Leipzig,Defender,1,0,0,3,6
64,Hefti,Young Boys,Defender,1,0,0,3,6
64,Grujić,Porto,Midfielder,1,0,0,3,6
64,Fábio Vieira,Porto,Midfielder,1,0,0,3,2
64,Gonçalo Inácio,Sporting CP,Defender,1,0,0,2,7
64,Pašalić,Atalanta,Midfielder,1,0,0,2,5
64,Lingard,Man. United,Midfielder,1,0,0,2,4
64,Poulsen,Leipzig,Forward,1,0,0,2,4
64,Schulz,Dortmund,Defender,1,0,0,2,4
64,Al. Miranchuk,Atalanta,Forward,1,0,0,2,2
64,Neuer,Bayern,Goalkeeper,1,0,0,1,9
64,Christensen,Chelsea,Defender,1,0,0,1,8
64,Rafa Mir,Sevilla,Forward,1,0,0,1,6
64,Kalulu,Milan,Defender,1,0,0,1,5
64,Danilo,Juventus,Defender,1,0,0,1,5
64,Tagliafico,Ajax,Defender,1,0,0,1,3
64,Novoa,Leipzig,Midfielder,1,0,0,1,1
64,Thiago Silva,Chelsea,Defender,1,0,0,0,9
64,Marquinhos,Paris,Defender,1,0,0,0,8
64,Klaassen,Ajax,Midfielder,1,0,0,0,7
64,Kessié,Milan,Midfielder,1,0,0,0,5
64,Gerhardt,Wolfsburg,Midfielder,1,0,0,0,5
64,Tolisso,Bayern,Midfielder,1,0,0,0,4
64,Schuurs,Ajax,Defender,1,0,0,0,3
64,Kryvtsov,Shakhtar Donetsk,Defender,1,0,0,0,3
64,Stanišić,Bayern,Defender,1,0,0,0,2
64,Bernardo,Salzburg,Defender,1,0,0,0,2
