serial,player_name,club,position,goals,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,match_played
73,Mukiele,Leipzig,Defender,1,1,0,0,0,1,0,0,6
73,James,Chelsea,Defender,1,1,0,0,0,1,0,0,6
73,Moumi Ngamaleu,Young Boys,Midfielder,1,1,0,0,0,1,0,0,6
73,Baku,Wolfsburg,Midfielder,1,1,0,0,0,1,0,0,6
73,Rafa Mir,Sevilla,Forward,1,1,0,0,0,1,0,0,6
73,Maguire,Man. United,Defender,1,1,0,0,0,1,0,0,6
73,Ocampos,Sevilla,Midfielder,1,1,0,0,0,1,0,0,6
73,Freuler,Atalanta,Midfielder,1,1,0,0,0,1,0,0,6
73,De Vrij,Inter,Defender,1,1,0,0,0,1,0,0,6
73,Alexis Sánchez,Inter,Forward,1,1,0,0,0,1,0,0,6
73,Garmash,Dynamo Kyiv,Midfielder,1,1,0,0,0,1,0,0,6
73,Piqué,Barcelona,Defender,1,1,0,0,0,1,0,0,5
73,Rashford,Man. United,Forward,1,1,0,0,0,1,0,0,5
73,Ikoné,LOSC,Midfielder,1,1,0,0,0,1,0,0,5
73,Tomori,Milan,Defender,1,1,0,0,0,1,0,0,5
73,Nikolov,Sheriff,Midfielder,1,1,0,0,0,1,0,0,5
73,Gomes,LOSC,Midfielder,1,1,0,0,0,1,0,0,4
73,Rafael Leão,Milan,Forward,1,1,0,0,0,1,0,0,4
73,Elanga,Man. United,Forward,1,1,0,0,0,1,0,0,3
73,Fati,Barcelona,Forward,1,1,0,0,0,1,0,0,3
73,Chalobah,Chelsea,Defender,1,1,0,0,0,1,0,0,3
73,Alcácer,Villarreal,Forward,1,1,0,0,0,1,0,0,3
73,Rieks,Malmö,Midfielder,1,1,0,0,0,1,0,0,3
73,Vlahović,Juventus,Forward,1,1,0,0,0,1,0,0,2
73,Rebić,Milan,Forward,1,1,0,0,0,1,0,0,2
73,Henderson,Liverpool,Midfielder,1,1,0,0,0,0,1,0,12
73,Thiago Alcántara,Liverpool,Midfielder,1,1,0,0,0,0,1,0,10
73,Keïta,Liverpool,Midfielder,1,1,0,0,0,0,1,0,9
73,Martínez,Inter,Forward,1,1,0,0,0,0,1,0,8
73,Rieder,Young Boys,Midfielder,1,1,0,0,0,0,1,0,6
73,Muriel,Atalanta,Forward,1,1,0,0,0,0,1,0,5
73,Ozdoev,Zenit,Midfielder,1,1,0,0,0,0,1,0,1
73,Sučić,Salzburg,Midfielder,1,0,1,0,0,1,0,1,8
73,Rakitskyy,Zenit,Defender,1,0,1,0,0,1,0,1,6
73,Ghezzal,Beşiktaş,Midfielder,1,0,1,0,0,1,0,1,5
73,Parejo,Villarreal,Midfielder,1,0,1,0,0,1,0,0,12
73,Ziyech,Chelsea,Midfielder,1,0,1,0,0,1,0,0,9
73,Musiala,Bayern,Midfielder,1,0,1,0,0,1,0,0,8
73,Nuno Santos,Sporting CP,Forward,1,0,1,0,0,1,0,0,7
73,Moreno,Villarreal,Defender,1,0,1,0,0,1,0,0,7
73,Vidal,Inter,Midfielder,1,0,1,0,0,1,0,0,7
73,Herrera,Paris,Midfielder,1,0,1,0,0,1,0,0,6
73,Neres,Ajax,Forward,1,0,1,0,0,1,0,0,5
73,Hudson-Odoi,Chelsea,Midfielder,1,0,1,0,0,1,0,0,5
73,Palomino,Atalanta,Defender,1,0,1,0,0,1,0,0,5
73,Sierro,Young Boys,Midfielder,1,0,1,0,0,1,0,0,5
73,Brahim Díaz,Milan,Midfielder,1,0,1,0,0,1,0,0,5
73,Pašalić,Atalanta,Midfielder,1,0,1,0,0,1,0,0,5
73,Bruno Tabata,Sporting CP,Midfielder,1,0,1,0,0,1,0,0,4
73,Kjærgaard,Salzburg,Midfielder,1,0,1,0,0,1,0,0,4
73,Pessina,Atalanta,Midfielder,1,0,1,0,0,1,0,0,4
73,Greenwood,Man. United,Forward,1,0,1,0,0,1,0,0,4
73,Iličić,Atalanta,Midfielder,1,0,1,0,0,1,0,0,4
73,Palmer,Man. City,Midfielder,1,0,1,0,0,1,0,0,3
73,Gosens,Atalanta,Midfielder,1,0,1,0,0,1,0,0,2
73,Alaba,Real Madrid,Defender,1,0,1,0,0,0,1,0,12
73,Asensio,Real Madrid,Forward,1,0,1,0,0,0,1,0,8
73,Blind,Ajax,Defender,1,0,1,0,0,0,1,0,8
73,Wöber,Salzburg,Defender,1,0,1,0,0,0,1,0,7
73,Hefti,Young Boys,Defender,1,0,1,0,0,0,1,0,6
73,Malinovskyi,Atalanta,Midfielder,1,0,1,0,0,0,1,0,5
73,Sutormin,Zenit,Midfielder,1,0,1,0,0,0,1,0,4
73,Alex Telles,Man. United,Defender,1,0,1,0,0,0,1,0,4
73,Diogo Jota,Liverpool,Forward,1,0,0,1,0,1,0,0,11
73,Renan Lodi,Atlético,Defender,1,0,0,1,0,1,0,0,10
73,Rüdiger,Chelsea,Defender,1,0,0,1,0,1,0,0,9
73,João Félix,Atlético,Forward,1,0,0,1,0,1,0,0,8
73,Coquelin,Villarreal,Midfielder,1,0,0,1,0,1,0,0,8
73,Pino,Villarreal,Forward,1,0,0,1,0,1,0,0,7
73,Origi,Liverpool,Forward,1,0,0,1,0,1,0,0,7
73,Alex Sandro,Juventus,Defender,1,0,0,1,0,1,0,0,7
73,Taremi,Porto,Forward,1,0,0,1,0,1,0,0,6
73,Kean,Juventus,Forward,1,0,0,1,0,1,0,0,6
73,Jordán,Sevilla,Midfielder,1,0,0,1,0,1,0,0,6
73,Demiral,Atalanta,Defender,1,0,0,1,0,1,0,0,6
73,Aké,Man. City,Defender,1,0,0,1,0,1,0,0,6
73,Kulusevski,Juventus,Midfielder,1,0,0,1,0,1,0,0,5
73,Larin,Beşiktaş,Forward,1,0,0,1,0,1,0,0,5
73,Kuzyaev,Zenit,Midfielder,1,0,0,1,0,1,0,0,4
73,Montero,Beşiktaş,Defender,1,0,0,1,0,1,0,0,4
73,Choupo-Moting,Bayern,Midfielder,1,0,0,1,0,1,0,0,4
73,Yansané,Sheriff,Forward,1,0,0,1,0,1,0,0,3
73,Yakhshiboev,Sheriff,Forward,1,0,0,1,0,1,0,0,3
73,Messias Junior,Milan,Forward,1,0,0,1,0,1,0,0,2
73,Morato,Benfica,Defender,1,0,0,1,0,1,0,0,2
73,Pedro Porro,Sporting CP,Defender,1,0,0,0,1,1,0,0,7
